Address,Email,TokensCount,LockDays
0x5B38Da6a701c568545dCfcB03FcB875f56beddC4,a@a.com,100,20
0xAb8483F64d9C6d1EcF9b849Ae677dD3315835cb2,b@b.com,200,50
0x4B20993Bc481177ec7E8f571ceCaE8A9e22C02db,c@c.com,250,100
0x78731D3Ca6b7E34aC0F824c42a7cC18A495cabaB,d@d.com,300,200
0x617F2E2fD72FD9D5503197092aC168c91465E7f2,a@a.com,600,150
0x17F6AD8Ef982297579C203069C1DbfFE4348c372,b@b.com,500,300
0x5c6B0f7Bf3E7ce046039Bd8FABdfD3f9F5021678,c@c.com,350,350
0x03C6FcED478cBbC9a4FAB34eF9f40767739D1Ff7,d@d.com,800,250
0x1aE0EA34a72D944a8C7603FfB3eC30a6669E454C,a@a.com,450,200
0x0A098Eda01Ce92ff4A4CCb7A4fFFb5A43EBC70DC,b@b.com,650,340
0xCA35b7d915458EF540aDe6068dFe2F44E8fa733c,c@c.com,120,180
0x14723A09ACff6D2A60DcdF7aA4AFf308FDDC160C,d@d.com,340,195
0x4B0897b0513fdC7C541B6d9D7E929C4e5364D2dB,a@a.com,155,278
0x583031D1113aD414F02576BD6afaBfb302140225,b@b.com,390,290
0xdD870fA1b7C4700F2BD7f44238821C26f7392148,c@c.com,400,540
